Name,Address,Suburb,Postcode,State,Business Category,Region,latitude,longitude
Falls Creek Alpine Association,PO Box 239,Glen Iris,3146,VIC,Recreation Group,Southern Metropolitan Region; Eastern Metropolitan Region,-37.85,145.07
Ravens Bridge Club,17 Barina Road,Glen Iris,3146,VIC,Recreation Group,"Southern Metro, Eastern Metro",-37.85,145.07
Harold Holt Swim Centre,Cnr High & Edgar Streets,Glen Iris,3146,VIC,Swimming Pool,Southern Metropolitan Region; Eastern Metropolitan Region,-37.85,145.07
Ashburton Pool & Recreation Centre,8 Warner Avenue,Ashburton,3147,VIC,Swimming Pool,Eastern Metropolitan Region,-37.86,145.08
Knox Bridge Club,4/18 Lafrank Street,Burwood,3148,VIC,Recreation Group,Eastern Metro,-37.89,145.08
Australian Plant Society Waverley,Wadham House,Mount Waverley,3149,VIC,Gardening Club,Eastern Metropolitan Region,-37.88,145.13
Waverley Bridge Club,PO Box 2017,Waverley,3149,VIC,Recreation Group,Waverley,-37.88,145.13
Life Activities Club Waverley,PO Box 3045,Syndal,3149,VIC,Recreation Group,Eastern Metropolitan Region,-37.88,145.13
Glen Iris Valley Recreation Club,260 - 270 High Street Road ,Mount Waverley,3149,VIC,Recreation Group,Eastern Metro,-37.88,145.13
Just Swimming Syndal,554 High Street Road,Mount Waverley,3149,VIC,Swimming Club,Eastern Metro,-37.88,145.13
Bushy Park Wetlands,Glen Waverley,Glen Waverley,3150,VIC,Park/Garden/Reserve,Eastern Metro,-37.88,145.17
Jells Park,Glen Waverley,Glen Waverley,3150,VIC,Park/Garden/Reserve,Eastern Metro,-37.88,145.17
Waverley Little Athletics,Central Reserve,Glen Waverley,3150,VIC,Little Athletics Club,Eastern Metropolitan Region,-37.88,145.17
Swimland,452 Springvale Road,Glen Waverley,3150,VIC,Swimming Club,Eastern Metro,-37.88,145.17
Monash Aquatic & Recreation Centre,626 Waverley Road,Glen Waverley,3150,VIC,Swimming Pool,Eastern Metropolitan Region,-37.88,145.17
Nunawading Little Athletics Centre,Bill Sewart Athletic Track,Burwood East,3151,VIC,Little Athletics Club,Eastern Metropolitan Region,-37.86,145.14
Koomba Park,Wantirna,Wantirna,3152,VIC,Park/Garden/Reserve,Eastern Metro,-37.87,145.24
Nortons Park,Wantirna South,Wantirna South,3152,VIC,Park/Garden/Reserve,Eastern Metro,-37.87,145.24
Shepherds Bush,Wantirna South,Wantirna South,3152,VIC,Park/Garden/Reserve,Eastern Metro,-37.87,145.24
Knox Little Athletics Centre,Knox Park Sporting Complex,Knoxfield,3152,VIC,Little Athletics Club,Eastern Metropolitan Region,-37.87,145.24
Swinburne University Short Courses - Wantirna,Wantirna Campus,Wantirna,3152,VIC,Recreation Group,Eastern Metro,-37.87,145.24
Eastern Ice Skating Centre,Cnr Barry Street & Jersey Road,Bayswater,3153,VIC,Iceskating,Eastern Metropolitan Region,-37.84,145.27
Life Activities Club - Knox,PO Box 19,Boronia,3155,VIC,Recreation Group,Eastern Metropolitan Region,-37.86,145.28
Knox Leisure Works,Tormore Road,Boronia,3155,VIC,Swimming Pool,Eastern Metropolitan Region,-37.86,145.28
Dandenong Ranges National Park,Ferntree Gully,Ferntree Gully,3156,VIC,Park/Garden/Reserve,Eastern Metro,-37.88,145.3
Lysterfield Lake Park,Lysterfield,Lysterfield,3156,VIC,Park/Garden/Reserve,Eastern Metro,-37.88,145.3
Sherbrooke Little Athletics Centre,Kings Park,Upper Ferntree Gully,3156,VIC,Little Athletics Club,Eastern Metropolitan Region,-37.88,145.3
Ferntree Gully Community Arts Centre,1010 Burwood Highway,Ferntree Gully,3156,VIC,Recreation Group,Eastern Metropolitan Region,-37.88,145.3
Knox Sherbrooke Swimming Centre Inc.,Brendock Park Drive,Ferntree Gully,3156,VIC,Swimming Pool,Eastern Metro,-37.88,145.3
Aura Vale Lake Park,Selby,Selby,3159,VIC,Park/Garden/Reserve,Eastern Metro,-37.92,145.4
Baluk Willam Flora Reserve,Belgrave South,Belgrave South,3160,VIC,Park/Garden/Reserve,Eastern Metro,-37.91,145.36
Belgrave Swimming Pool,Best Street,Belgrave,3160,VIC,Swimming Pool,Eastern Metro,-37.91,145.36
Theodor Herzl Social Club,222 Balaclava Road,Caulfield,3162,VIC,Recreation Group,Southern Metro,-37.88,145.03
Caulfield Swim Centre,Moira Avenue,Caulfield,3162,VIC,Swimming Pool,Southern Metro,-37.88,145.03
LaTrobe Mountaineering Club,GPO Box 285,Glen Huntly,3163,VIC,Recreation Group,Southern Metropolitan Region,-37.89,145.06
Community Group Exercise Classes,"Scout Hall, Centennary Park",Bentleigh,3165,VIC,Recreation Group,Southern Metro,-37.93,145.06
Life Activities Club - Bentleigh,1 Derry Street,Bentleigh East,3165,VIC,Recreation Group,Southern Metropolitan Region,-37.93,145.06
East Bentleigh Swimming Pool,East Boundary Road,Bentleigh East,3165,VIC,Swimming Pool,Southern Metro,-37.93,145.06
Australian Plant Society Hughesdale,Hughesdale Community Centre,Hughesdale,3166,VIC,Gardening Club,Eastern Metropolitan Region,-37.9,145.08
Oakleigh Recreation Centre,Park Road,Oakleigh,3166,VIC,Swimming Pool,Eastern Metropolitan Region,-37.9,145.08
Olympic Ice Skating Centre,1080 Centre Road,Oakleigh South,3167,VIC,Iceskating,Southern Metropolitan Region; Eastern Metropolitan Region,-37.93,145.1
Oakleigh Little Athletics Centre,Davies Reserve,Oakleigh South,3167,,Little Athletics Club,Southern Metropolitan Region; Eastern Metropolitan Region,-37.93,145.1
Clayton Aquatics and Health Club,Cooke Street,Clayton,3168,VIC,Swimming Pool,Eastern Metropolitan Region,-37.93,145.12
Rec-Line,773 Warrigal Road,Oakleigh,3169,VIC,Recreation Group,Eastern Metropolitan Region,-37.94,145.1
Caving Club of Victoria,PO Box 254,Mulgrave,3170,VIC,Recreation Group,Eastern Metro,-37.87,145.1
Sandown Greyhound Racing Club,Lightwood Road,Springvale,3171,VIC,Recreation Group,Southern Metro,-37.95,145.16
Springvale Little Athletics Centre,Ross Reserve Memorial Drive,Noble Park,3174,VIC,Little Athletics Club,Southern Metro,-37.97,145.18
Dandenong Bridge Club,PO Box 7058,Noble Park,3174,VIC,Recreation Group,Southern Metro,-37.97,145.18
Noble Park Memorial Swim Centre,Memorial Drive,Noble Park,3174,VIC,Swimming Pool,Southern Metro,-37.97,145.18
Dandenong Police Paddocks Reserve,Dandenong,Dandenong,3175,VIC,Park/Garden/Reserve,Southern Metro,-38.03,145.18
Dandenong Little Athletics Centre,Robert Booth Reserve,Dandenong,3175,VIC,Little Athletics Club,Southern Metropolitan Region,-38.03,145.18
Wellsprings,79 Langhorne Street,Dandenong,3175,VIC,Recreation Group,Southern Metro,-38.03,145.18
Leisure Link-Up,Suite 3/50 Thomas Street,Dandenong,3175,VIC,Recreation Group,Southern Metro,-38.03,145.18
Life Activities Club - Dandenong,PO Box 737,Dandenong,3175,VIC,Recreation Group,Southern Metropolitan Regionegion,-38.03,145.18
North Lodge Neptunes AUSSI Masters,North Lodge Swimming Academy,Dandenong,3175,VIC,Swimming Club,Southern Metro,-38.03,145.18
North Lodge Swimming Academy,137- 139 Stud Road,Dandenong,3175,VIC,Swimming Pool,Southern Metro,-38.03,145.18
Dandenong Oasis,Cnr Heatherton Road and Cleeland Street,Dandenong,3175,VIC,Swimming Pool,Southern Metropolitan Region; Southern Metropolitan Region,-38.03,145.18
Doveton Pool In The Park - YMCA,Cnr Tristania Street & Kidd Road,Doveton,3177,VIC,Swimming Pool,Southern Metro,-38,145.24
Freeway Sports Centre,Cnr Princes Hwy & Doveton Avenue,Doveton,3177,VIC,Swimming Pool,Southern Metropolitan Region,-38,145.24
Churchill National Park,Rowville,Rowville,3178,VIC,Park/Garden/Reserve,Eastern Metro,-37.93,145.24
Bayswater Bullets Little Athletics Club,Knox Park Sporting Complex,Knoxfield,3180,VIC,Little Athletics Club,Eastern Metropolitan Region,-37.89,145.25
Knox Noahs AUSSI Masters,Knox Waterworld,Knox,3180,VIC,Swimming Club,Knox,-37.89,145.25
Swinburne University Short Courses - Prahran,Prahran Campus,Prahran,3181,VIC,Recreation Group,Southern Metro,-37.85,144.99
Powerpoints AUSSI Masters,Prahran Pool,Prahran,3181,VIC,Swimming Club,Southern Metro,-37.85,144.99
"Rippon Lea House, Museum & Garden",192 Hotham Street,Elsternwick,3182,VIC,Park/Garden/Reserve,Southern Metro,-37.87,144.98
St Kilda Pier,St Kilda,St Kilda,3182,VIC,Park/Garden/Reserve,Southern Metro,-37.87,144.98
Australian Lace Guild (Victorian Branch) Inc.,21/41 Chapel Street,St Kilda,3182,VIC,Recreation Group,Southern Metro,-37.87,144.98
St Kilda Police Citizens Youth Club,179 Inkerman Street,St Kilda,3182,VIC,Recreation Group,Southern Metro,-37.87,144.98
SCOPE- Leisure Action - Central,135 Inkerman Street,St Kilda,3182,VIC,Recreation Group,Southern Metro,-37.87,144.98
St Kilda Sea Baths,10- 18 Jacka Boulevard,St Kilda,3182,VIC,Swimming Pool,Southern Metro,-37.87,144.98
St Kilda Swim Centre,97B Alma Road,St Kilda,3182,VIC ,Swimming Pool,Southern Metro,-37.87,144.98
Bridge @ 99,"C/o Shalom Unit, Bnei-Brith",St Kilda East,3183,VIC,Recreation Group,Southern Metro,-37.87,145
Brown School of Bridge,PO Box 272,Elwood,3184,VIC,Recreation Group,Southern Metro,-37.88,145
Borin Bridge Centre,20 Spink Street,Brighton,3186,VIC,Recreation Group,Southern Metro,-37.91,144.99
Probus Club of Brighton (Men),PO Box 2160,Brighton North,3186,VIC,Recreation Group,Southern Metro,-37.91,144.99
Life Activities Club - Brighton Bayside,Brighton,Brighton,3186,VIC,Recreation Group,Southern Metropolitan Region,-37.91,144.99
Sandringham Little Athletics Centre,Glamis Avenue,Hampton,3188,VIC,Little Athletics Club,Southern Metropolitan Region,-37.93,145.03
Middle Brighton Baths,251 The Esplanade,Brighton,3188,VIC,Swimming Pool,Southern Metropolitan Region,-37.93,145.03
Moorabbin Little Athletics Centre,GR Bricker Reserve,Moorabbin,3189,VIC,Little Athletics Club,Southern Metropolitan Region,-37.93,145.04
Moorabbin Archery Club,Highett Reserve,Highett,3190,VIC,Recreation Group,Southern Metro,-37.95,145.03
Kingston AUSSI Masters,Waves Leisure Centre,Highett,3190,VIC,Swimming Club,Southern Metro,-37.95,145.03
Waves Leisure Centre,111 Chesterville Road,Highett,3190,VIC,Swimming Pool,Southern Metropolitan Region,-37.95,145.03
Life Activities Club - Sandringham,PO Box 137,Sandringham,3191,VIC,Recreation Group,Southern Metropolitan Region,-37.95,145.01
Life Activities Club - Cheltenham,Cheltenham,Cheltenham,3192,VIC,Recreation Group,Southern Metropolitan Region,-37.96,145.06
Kingfish AUSSI Masters Swimming Club,King Club,Cheltenham,3192,VIC,Swimming Club,Southern Metro,-37.96,145.06
Re-Creation Health Club Sandringham,150 Tulip Street,Cheltenham,3192,VIC,Swimming Pool,Southern Metropolitan Region,-37.96,145.06
Ricketts Point Marine Sanctuary,Beaumaris,Beaumaris,3193,VIC,Park/Garden/Reserve,Southern Metro,-37.99,145.03
Mentone Little Athletics,Dolamore Reserve,Mentone,3193,VIC,Little Athletics Club,Southern Metropolitan Region,-37.99,145.03
Karkarook Park,near Mentone,Mentone,3194,VIC,Park/Garden/Reserve,Southern Metro,-37.98,145.06
Parkdale Porpoises AUSSI Masters,Don Tatnell Pool,Parkdale,3194,VIC,Swimming Club,Southern Metro,-37.98,145.06
Braeside Park,Braeside  Park,Braeside  Park,3195,VIC,Park/Garden/Reserve,Braeside  Park,-38.03,145.1
Don Tatnell Leisure Centre,Cnr Warren Road & Brisbane Terrace,Mordialloc,3195,VIC,Swimming Pool,Southern Metropolitan Region,-38.03,145.1
Life Activities Club - Long Beach (Chelsea),PO Box 241,Chelsea,3196,VIC,Recreation Group,Southern Metropolitan Region,-38.06,145.12
Patterson River,Patterson Lakes,Patterson Lakes,3197,VIC,Park/Garden/Reserve,Southern Metro,-38.08,145.12
Seaford Little Athletics Centre,Riviera Park,Seaford,3198,VIC,Little Athletics Club,Southern Metropolitan Region,-38.11,145.16
Langwarrin Flora & Fauna Reserve,Frankston,Frankston,3199,VIC,Park/Garden/Reserve,Southern Metro,-38.15,145.12
Pines Flora and Fauna Reserve,Frankston,Frankston,3199,VIC,Park/Garden/Reserve,Southern Metro,-38.15,145.12
Frankston Little Athletics Centre,Ballam Park Athletics Track,Frankston,3199,VIC,Little Athletics Club,Southern Metropolitan Region,-38.15,145.12
Frankston Bridge Club,PO Box 623,Frankston,3199,VIC,Recreation Group,Southern Metro,-38.15,145.12
Peninsula Pedallers Inc,PO Box 1404,Frankston,3199,VIC,Recreation Group,Southern Metro,-38.15,145.12
East Frankston Over 55's Club,200 Beach Street,Frankston,3199,VIC,Recreation Group,Southern Metro,-38.15,145.12
Frankston Peninsula AUSSI Masters,Jubilee Park Swimming Pool,Frankston,3199,VIC,Swimming Club,Southern Metro,-38.15,145.12
Jubilee Park Aquatic Centre,Hillcrest Road,Frankston,3199,VIC,Swimming Pool,Southern Metro,-38.15,145.12
Pines Forest Swimming Centre,Corner Forest Drive and Lehman Crescent,Frankston North,3200,VIC,Swimming Pool,Southern Metropolitan Region,-38.17,145.19
Earthwatch Australia,126 Bank Street,South Melbourne,3205,VIC,Recreation Group,Southern Metro,-37.93,145.03
Guides Victoria,101 Clarke Street ,South Melbourne,3205,VIC,Recreation Group,Southern Metro,-37.93,145.03
Albert Park,Albert Road,Albert Park,3206,VIC,Park/Garden/Reserve,Southern Metro,-37.84,144.96
Albert Park - VRI Bowls Club,St Vincent Gardens,Albert Park,3206,VIC,Recreation Group,Southern Metro,-37.84,144.96
Albert Park Yachting & Angling Club,Beaconsfield Parade,Albert Park,3206,VIC,Recreation Group,Southern Metro,-37.84,144.96
Melbourne Vicentre Swimming Club,"Melbourne Sports & Aquatic Centre, Aughtie Drive",Albert Park,3206,VIC,Swimming Club,Southern Metro,-37.84,144.96
Masters Swimming Victoria,Sports House,Albert Park,3206,VIC,Swimming Pool,Southern Metropolitan Region,-37.84,144.96
Westgate Park,Lorimer Street,Port Melbourne,3207,VIC,Park/Garden/Reserve,Southern Metro,-37.83,144.96
Life Activities Club - Port Phillip,PO Box 717,Port Melbourne,3207,VIC,Recreation Group,Southern Metropolitan Region; North and West Metropolitan Region,-37.83,144.96
Serendip Sanctuary,100 Windermere Road,Lara,3212,VIC,Park/Garden/Reserve,Barwon S/W,-38.02,144.41
You Yangs Regional Park,55km south-west of Melbourne and 22km north of Geelong,Lara,3212,VIC,Park/Garden/Reserve,Barwon S/W,-38.02,144.41
Lara Pool,Bank Street,Lara,3212,VIC,Swimming Pool,Barwon South Western Region,-38.02,144.41
Lara Swimming Pool,Banks Street,Lara,3212,VIC,Swimming Pool,Barwon S/W,-38.02,144.41
Barwon Older Adults Recreation Network,Leisuretime Centre,Norlane West,3214,VIC,Recreation Group,Barwon S/W,-38.07,144.36
Waterworld,Cnr Melbourne and Cox Roads,Norlane,3214,VIC,Swimming Pool,Barwon South Western Region,-38.07,144.36
Corio Bay Indoor Carpet Bowlers,38 Rugby Street,Belmont,3216,VIC,Recreation Group,Barwon S/W,-38.18,144.34
Geelong Outrigger Club Inc,49 Bickford Road,Grovedale,3216,VIC,Recreation Group,Barwon S/W,-38.18,144.34
Geelong West Community Garden,129 Autumn Street,Geelong West,3218,VIC,Gardening Club,Barwon South Western Region,-38.14,144.35
Geelong Cement Recreation Club,200 McCurdy Road,Herne Hill,3218,VIC,Recreation Group,Barwon S/W,-38.14,144.35
Interchange - Barwon,Gateway Support Services,Geelong West,3218,VIC,Recreation Group,Barwon S/W,-38.14,144.35
Splashdown,Coppards Road,Whittington,3219,VIC,Swimming Pool,Barwon South Western Region,-38.18,144.38
Australian Plant Society Geelong,Geelong Botanical Gardens,Geelong,3220,VIC,Gardening Club,Barwon South Western Region,-38.18,145.11
Barwon Older Adults Recreation Network Inc,182a Ryrie Street,Geelong,3220,VIC,Recreation Group,Barwon S/W,-38.18,145.11
Geelong Bridge Club,PO Box 1546,Geelong,3220,VIC,Recreation Group,Barwon S/W,-38.18,145.11
Geelong Miniature Aircraft Association,Geelong,Geelong,3220,VIC,Recreation Group,Barwon S/W,-38.18,145.11
Getting Active,Geelong,Geelong,3220,VIC,Recreation Group,Geelong,-38.18,145.11
Club Wild,PO Box 102,Geelong,3220,VIC,Recreation Group,Barwon S/W,-38.18,145.11
Life Activities Club Geelong,PO Box 1041,Geelong,3220,VIC,Recreation Group,Barwon South Western Region,-38.18,145.11
Geelong Swimming Club,Park Crescent,Geelong South,3220,VIC,Swimming Club,Barwon S/W,-38.18,145.11
South Barwon Swimming Club,PO Box 1301,Geelong,3220,VIC,Swimming Club,Barwon S/W,-38.18,145.11
Kardinia Aquatic Centre,Park Crescent,South Geelong,3220,VIC,Swimming Pool,Barwon S/W,-38.18,145.11
Edward Point State Faunal Reserve,St Leonards,St Leonards,3223,VIC,Park/Garden/Reserve,Barwon S/W,-38.14,144.71
Leopold Tennis Club,135 Melaluka Road,Leopold,3224,VIC,Recreation Group,Barwon S/W,-38.18,144.46
Camp Wyuna,Flinders Street,Queenscliff,3225,VIC,Recreation Group,Barwon S/W,-38.29,144.61
Ocean Grove Nature Reserve,Ocean Grove,Ocean Grove,3226,VIC,Park/Garden/Reserve,Barwon S/W,-38.27,144.54
Geelong Bonsai Club,11 Cuttle Court,Ocean Grove,3226,VIC,Gardening Club,Barwon South Western Region,-38.27,144.54
Airsports Skydiving Academy,156 The Avenue,Ocean Grove,3226,VIC,Recreation Group,Barwon S/W,-38.27,144.54
Ocean Grove Bridge Club,P.O. Box 10,Ocean Grove,3226,VIC,Recreation Group,Barwon S/W,-38.27,144.54
Ocean Grove Memorial Recreation Reserve Management Committee,Ocean Grove,Ocean Grove,3226,VIC,Recreation Group,Barwon S/W,-38.27,144.54
Barwon Bluff Marine Sanctuary,Mouth of the Barwon River at Barwon Heads,Barwon Heads,3227,VIC,Park/Garden/Reserve,Barwon S/W,-38.28,144.49
Point Addis Marine National Park,Accessible from Bells Beach,Jan Juc,3228,VIC,Park/Garden/Reserve,Barwon S/W,-38.33,144.26
Point Danger Marine Sanctuary,Torquay,Torquay,3228,VIC,Park/Garden/Reserve,Barwon S/W,-38.33,144.26
Life Activities Club - Surf Coast,PO Box 242,Torquay,3228,VIC,Recreation Group,Barwon South Western Region,-38.33,144.26
Anglesea Recreation Camp,Cnr Great Ocean Road & Inverlochy Street,Anglesea,3230,VIC,Recreation Group,Barwon South Western Region,-38.41,144.19
Eagle Rock Marine Sanctuary,Aireys Inlet,Aireys Inlet,3231,VIC,Park/Garden/Reserve,Barwon S/W,-38.46,144.11
Angahook-Lorne State Park,Lorne,Lorne,3232,VIC,Park/Garden/Reserve,Barwon S/W,-38.52,144
Cape Otway Lightstation,13km from the Great Ocean Road turnoff,Apollo Bay,3233,VIC,Park/Garden/Reserve,Barwon S/W,-38.75,143.67
Marengo Reefs Marine Sanctuary,Marengo,Marengo,3233,VIC,Park/Garden/Reserve,Marengo,-38.75,143.67
Otway National Park,Maits Rest,Apollo Bay,3233,VIC,Park/Garden/Reserve,Barwon S/W,-38.75,143.67
Apollo Bay Swimming Pool,Costin Street,Apollo Bay,3233,VIC,Swimming Pool,Barwon South Western Region,-38.75,143.67
Carlisle State Park,Otway Shire,Otway Shire,3237,VIC,Park/Garden/Reserve,Otway Shire,-38.69,143.56
Melba Gully State Park,Lavers Hill,Lavers Hill,3238,VIC,Park/Garden/Reserve,Barwon S/W,-38.78,143.43
Winchelsea Swimming Pool,Barwon Terrace Road,Winchelsea,3241,VIC,Swimming Pool,Barwon S/W,-38.37,143.95
Australian Plant Society Colac,Colac Neighbourhood House,Colac,3250,VIC,Gardening Club,Barwon South Western Region,-38.34,143.58
Bluewater Fitness Centre,118 Hearn Street,Colac,3250,VIC,Swimming Pool,Barwon South Western Region,-38.34,143.58
Terang Swimming Pool,Terang,Terang,3264,VIC,Swimming Pool,Barwon S/W,-38.24,142.91
Cobden Swimming Pool,Victoria Street,Cobden,3266,VIC,Swimming Pool,Barwon S/W,-38.34,143.14
Timboon Recreation Centre,Curdie Vale Road,Timboon,3268,VIC,Recreation Group,Barwon South Western Region,-38.42,142.86
Timboon Swimming Pool,65 Bailey Street,Timboon,3268,VIC,Swimming Pool,Barwon S/W,-38.42,142.86
Arches Marine Sanctuary,Port Campbell,Port Campbell,3269,VIC,Park/Garden/Reserve,Barwon S/W,-38.62,143
Port Campbell National Park,Port Campbell,Port Campbell,3269,VIC,Park/Garden/Reserve,Barwon S/W,-38.62,143
Twelve Apostles Marine National Park,Port Campbell,Port Campbell,3269,VIC,Park/Garden/Reserve,Barwon S/W,-38.62,143
Bay of Islands Coastal Park,Peterborough,Peterborough,3270,VIC,Park/Garden/Reserve,Peterborough,-38.58,142.86
Mortlake Swimming Pool,Jamieson Avenue,Mortlake,3272,VIC,Swimming Pool,Barwon S/W,-38.08,142.81
Merri Marine Sanctuary,Warrnambool,Warrnambool,3280,VIC,Park/Garden/Reserve,Barwon S/W,-38.36,142.44
Australian Plant Society Warrnambool,Mozart Hall,Warrnambool,3280,VIC,Gardening Club,Barwon South Western Region,-38.36,142.44
Warrnambool Little Athletics Centre,Lake Pertobe Centre,Warrnambool,3280,VIC,Little Athletics Club,Barwon South Western Region,-38.36,142.44
South West Older Adults Recreation Network,C/- City of Warrnambool,Warrnambool,3280,VIC,Recreation Group,Barwon S/W,-38.36,142.44
Warrnambool Bridge Club,PO Box 17,Warrnambool,3280,VIC,Recreation Group,Barwon S/W,-38.36,142.44
Warrnambool Indoor Tennis Centre,60 Mortlake Road,Warrnambool,3280,VIC,Recreation Group,Barwon S/W,-38.36,142.44
The Meditation Experience,90 Fairy Street,Warrnambool,3280,VIC,Recreation Group,Barwon S/W,-38.36,142.44
Jayson Lamb's Splash Factory,Warrnambool College Pool,Warrambool,3280,VIC,Swimming Club,Barwon South Western,-38.36,142.44
Warrnambool Swimming Club,PO Box 688,Warrnambool,3280,VIC,Swimming Club,Barwon S/W,-38.36,142.44
Warrnambool Olympic Pool,Queens Road,Warrnambool,3280,VIC,Swimming Pool,Barwon S/W,-38.36,142.44
Aquazone Warrnambool Aquatic Leisure Centre,Queens Road,Warrnambool,3280,VIC,Swimming Pool,Barwon South Western Region,-38.36,142.44
Tower Hill State Game Reserve,Warrnambool,Warrnambool,3281,VIC,Park/Garden/Reserve,Barwon S/W,-38.33,142.51
Australian Plant Society Hamilton,Hamilton Institute of Rural Learning,Hamilton,3300,VIC,Gardening Club,Barwon South Western Region,-37.88,141.96
Hamilton Bridge Club,PO Box 30,Hamilton,3300,VIC,Recreation Group,Barwon S/W,-37.88,141.96
Hamilton Olympic Swimming Pool,Hamilton Place,Hamilton,3300,VIC,Swimming Pool,Barwon South Western Region,-37.88,141.96
Crawford River Regional Park,Hotspur,Hotspur,3303,VIC,Park/Garden/Reserve,Hotspur,-38.03,141.81
Lower Glenelg National Park,via Dartmoor,Dartmoor,3304,VIC,Park/Garden/Reserve,Barwon S/W,-38.15,141.97
Heywood Swimming Pool,Cnr Fitzroy & Hunter Streets,Heywood,3304,VIC,Swimming Pool,Barwon S/W,-38.15,141.97
Cape Nelson State Park,Portland,Portland,3305,VIC,Park/Garden/Reserve,Barwon S/W,-38.27,141.65
Discovery Bay Coastal Park,Off the Portland - Nelson Road,Portland,3305,VIC,Park/Garden/Reserve,Barwon S/W,-38.27,141.65
Discovery Bay Marine National Park,Portland,Portland,3305,VIC,Park/Garden/Reserve,Barwon S/W,-38.27,141.65
Mount Richmond National Park,Portland,Portland,3305,VIC,Park/Garden/Reserve,Barwon S/W,-38.27,141.65
Interchange - Glenelg,Community Connections,Portland,3305,VIC,Recreation Group,Barwon South Western Region,-38.27,141.65
Portland Leisure & Aquatic Centre,22 Bentinck Street,Portland,3305,VIC,Swimming Pool,Barwon South Western Region,-38.27,141.65
Dergholm State Park,Dergholm,Dergholm,3312,VIC,Park/Garden/Reserve,Dergholm,-37.64,141.37
Black Range State Park,Cavendish,Cavendish,3314,VIC,Park/Garden/Reserve,Barwon S/W,-37.59,141.94
Lismore District War Memorial Swimming Pool,Lismore,Lismore,3324,VIC,Swimming Pool,Barwon S/W,-37.95,143.34
Steiglitz Historic Park,Steiglitz,Steiglitz,3331,VIC,Park/Garden/Reserve,Steiglitz,-38.05,144.17
Long Forest Flora Reserve,Between Melton and Bacchus Marsh,Melton,3337,VIC,Park/Garden/Reserve,North and West Metropolitan Region,-37.68,144.59
Australian Plant Society Melton and Bacchus Marsh Group,'Dunvegan' Willows Historic Park,Melton,3337,VIC,Gardening Club,North and West Metropolitan Region,-37.68,144.59
Friends of Toolern Creek,56 Westlake Drive,Melton West,3337,VIC,Recreation Group,North and West Metropolitan Region,-37.68,144.59
Melton Waves Leisure Centre,206 Coburns Road,Melton,3337,VIC,Swimming Pool,North and West Metropolitan Region,-37.68,144.59
Melton South Little Athletics Centre,Melton South Recreation Reserve,Melton South,3338,VIC,Little Athletics Club,North and West Metropolitan Region,-37.7,144.54
Lerderderg State Park,20km between Bacchus Marsh and Blackwood,Bacchus Marsh,3340,VIC,Park/Garden/Reserve,Grampians,-37.68,144.44
Werribee Gorge State Park,8km west of Bacchus Marsh,Bacchus Marsh,3340,VIC,Park/Garden/Reserve,Grampians,-37.68,144.44
Bacchus Marsh Little Athletics Centre,Masons Lane,Bacchus Marsh,3340,VIC,Little Athletics Club,Grampians Region,-37.68,144.44
Lady Northcote Recreation Camp,RSD Glenmore Road,Rowsley,3340,VIC,Recreation Group,Rowsley,-37.68,144.44
Bacchus Marsh Outdoor Pool,Grant Street,Bacchus Marsh,3340,VIC,Swimming Pool,Grampians Region,-37.68,144.44
Bacchus Marsh Leisure Centre,5-15 Labilliere Street,Bacchus Marsh,3340,VIC,Swimming Pool,Grampians Region,-37.68,144.44
Ballan Outdoor Pool,Blackwood Road,Ballan,3341,VIC,Swimming Pool,Grampians Region,-37.52,144.31
Bendigo Regional Park,Bendigo,Bendigo,3350,VIC,Park/Garden/Reserve,Loddon-Mallee,-37.56,143.82
Greater Bendigo National Park,Bendigo,Bendigo,3350,VIC,Park/Garden/Reserve,Loddon-Mallee,-37.56,143.82
Australian Plant Society Ballarat,Robert Clark Centre,Ballarat,3350,VIC,Gardening Club,Grampians Region,-37.56,143.82
Ballarat Little Athletics Centre,Llanberris Reserve,Ballarat,3350,VIC,Little Athletics Club,Grampians Region,-37.56,143.82
Ballarat Bridge Club,PO Box 66W,Ballarat West,3350,VIC,Recreation Group,Grampians,-37.56,143.82
Ballarat Police Citizens Youth Club,Ballarat Police Station,Ballarat,3350,VIC,Recreation Group,Grampians,-37.56,143.82
Ballarat Bushwalking & Outdoor Club,PO Box 133W,Ballarat,3350,VIC,Recreation Group,Grampians,-37.56,143.82
Green Gym Program,C/o Conservation Volunteers,Ballarat,3350,VIC,Recreation Group,Grampians Region,-37.56,143.82
Black Hill Swimming Pool,Chisholm Street,Ballarat,3350,VIC,Swimming Pool,Grampians,-37.56,143.82
Ballarat Aquatic Centre,Prince of Wales Park,Ballarat,3350,VIC,Swimming Pool,Grampians Region,-37.56,143.82
Enfield State Park,25kms from Ballarat,Enfield,3352,VIC,Park/Garden/Reserve,Enfield,-37.38,143.67
Central Highlands Older Adults Network,PO Box 2341,Ballarat,3354,VIC,Recreation Group,Grampians,-37.56,143.87
Life Activities Club - Ballarat,PO Box 1090,Ballarat,3354,VIC,Recreation Group,Grampians Region,-37.56,143.87
Ballarat GCO Swim Club,PO Box 1709,Ballarat,3354,VIC,Swimming Club,Grampians,-37.56,143.87
Australian Plant Society Bendigo,Elderly Citizens Club Rooms,Golden Square,3355,VIC,Gardening Club,Loddon-Mallee Region,-37.55,143.82
